Country,Year,Attack Type,Target Industry,Attack Source,Financial Loss (Millions),Number of Affected Users,Incident Resolution Time (Hours),Security Vulnerability Type,Defense Mechanism Used
Indonésie,2019,Ransomware,Santé,Nation-État,31.01,123954,250.9,Vulnérabilité zero-day,IDS/IPS
Allemagne,2019,Phishing,Finance,Insider,52.15,2719,120.4,Absence de chiffrement,Authentification multifacteur
Chine,2019,Malware,Éducation,Nation-État,105.09,1330842,16.9,Accès non autorisé,Pare-feu
Chine,2019,Zero-Day,Technologie,Cybercriminels,141.47,965364,64.7,Mots de passe faibles,Formation et sensibilisation
Ukraine,2019,DDoS,Énergie,Inconnu,31.15,5619,88.7,Mauvaise configuration,Segmentation réseau
Russie,2019,Injection SQL,Commerce,Inconnu,0.79,1213349,73.5,Ingénierie sociale,Pare-feu
Iran,2019,Ransomware,Finance,Inconnu,247.32,3051,589.6,Mauvaise configuration,Sauvegarde et restauration
Allemagne,2019,Phishing,Défense,Insider,19.69,452,64.7,Logiciels non patchés,Sauvegarde et restauration
Israël,2019,Injection SQL,Commerce,Cybercriminels,39.84,3344,22.8,Logiciels non patchés,Segmentation réseau
Pays-Bas,2019,Malware,Santé,Hacktivistes,48.32,870,146.9,Logiciels non patchés,Chiffrement
Inde,2019,Ransomware,Gouvernement,Cybercriminels,52.40,702889,350.0,Accès non autorisé,Segmentation réseau
France,2019,Phishing,Finance,Cybercriminels,67.06,1475147,74.4,API non sécurisée,Sauvegarde et restauration
Colombie,2019,Malware,Santé,Nation-État,62.96,88176,65.6,API non sécurisée,Sauvegarde et restauration
Russie,2019,Spear Phishing,Santé,Nation-État,42.38,21586,39.7,Absence de chiffrement,Segmentation réseau
Royaume-Uni,2019,Malware,Finance,Cybercriminels,77.05,2091881,16.5,Mauvaise configuration,Segmentation réseau
Royaume-Uni,2019,Zero-Day,Technologie,Inconnu,223.72,2092,280.3,Vulnérabilité zero-day,Sauvegarde et restauration
Indonésie,2019,Spear Phishing,Éducation,Cybercriminels,77.29,1026,11.2,Logiciels non patchés,Formation et sensibilisation
Chine,2019,Phishing,Transport,Groupe de hackers,8.04,5356,32.4,Ingénierie sociale,Segmentation réseau
Singapour,2019,Ransomware,Santé,Insider,109.99,223,214.0,Absence de chiffrement,Analyse forensique
Inde,2019,DDoS,Éducation,Cybercriminels,33.20,151760,35.1,Logiciels non patchés,IDS/IPS
États-Unis,2019,Man-in-the-Middle,Télécommunications,Insider,17.31,759,160.8,Mauvaise configuration,Chiffrement
Chine,2019,DDoS,Santé,Groupe de hackers,47.49,11075,139.1,Logiciels non patchés,IDS/IPS
Chine,2019,Spear Phishing,Gouvernement,Cybercriminels,51.19,10752,72.2,Vulnérabilité zero-day,Pare-feu
Inde,2019,Spear Phishing,Technologie,Inconnu,113.28,6124,129.2,API non sécurisée,Analyse forensique
Australie,2019,DDoS,Finance,Hacktivistes,33.76,28988,28.3,Mauvaise configuration,Sauvegarde et restauration
Russie,2019,Zero-Day,Éducation,Hacktivistes,295.76,5381,204.1,Mots de passe faibles,Segmentation réseau
États-Unis,2019,Phishing,Technologie,Insider,39.49,959,106.5,Mots de passe faibles,Authentification multifacteur
Colombie,2019,DDoS,Technologie,Groupe de hackers,44.83,9431879,133.9,Mots de passe faibles,SIEM
Russie,2019,Injection SQL,Finance,Groupe de hackers,15.93,2096,89.0,Logiciels non patchés,Authentification multifacteur
Afrique du Sud,2019,Ransomware,Technologie,Inconnu,268.32,105,107.2,API non sécurisée,Formation et sensibilisation
Pays-Bas,2019,Ransomware,Finance,Inconnu,182.33,120,647.8,Ingénierie sociale,Analyse forensique
États-Unis,2019,Injection SQL,Technologie,Cybercriminels,50.89,9471,41.2,Mauvaise configuration,Chiffrement
Allemagne,2019,Phishing,Éducation,Cybercriminels,67.80,44166,70.2,Ingénierie sociale,Segmentation réseau
Royaume-Uni,2019,Phishing,Technologie,Nation-État,13.41,13127,87.6,Accès non autorisé,Sauvegarde et restauration
Corée du Sud,2019,Malware,Santé,Nation-État,108.18,10292,93.8,Vulnérabilité zero-day,Authentification multifacteur
Corée du Sud,2019,DDoS,Défense,Nation-État,2.87,589512,46.7,Ingénierie sociale,Sauvegarde et restauration
Inde,2019,Ransomware,Gouvernement,Nation-État,167.73,500,254.6,Accès non autorisé,Segmentation réseau
Colombie,2019,Spear Phishing,Gouvernement,Groupe de hackers,70.62,41996,166.0,API non sécurisée,Authentification multifacteur
France,2019,Zero-Day,Santé,Hacktivistes,744.51,151,426.2,Mauvaise configuration,Authentification multifacteur
Espagne,2019,Ransomware,Télécommunications,Insider,284.51,192344,386.3,Logiciels non patchés,IDS/IPS
Allemagne,2019,Phishing,Finance,Nation-État,16.71,20199,89.8,Logiciels non patchés,SIEM
États-Unis,2019,Ransomware,Télécommunications,Groupe de hackers,43.93,10511,334.0,Absence de chiffrement,Sauvegarde et restauration
Espagne,2019,Ransomware,Énergie,Nation-État,311.49,1179,231.7,Ingénierie sociale,Pare-feu
Israël,2019,Injection SQL,Gouvernement,Nation-État,19.07,16940900,30.2,Logiciels non patchés,Analyse forensique
Royaume-Uni,2019,Man-in-the-Middle,Commerce,Nation-État,14.48,75,67.5,Ingénierie sociale,Sauvegarde et restauration
Royaume-Uni,2019,Ransomware,Défense,Nation-État,66.73,5410,338.0,Vulnérabilité zero-day,IDS/IPS
Iran,2019,Zero-Day,Énergie,Nation-État,715.44,284673,176.5,Mauvaise configuration,Authentification multifacteur
États-Unis,2019,Injection SQL,Santé,Nation-État,38.12,945777,158.4,Ingénierie sociale,SIEM
Turquie,2019,Phishing,Télécommunications,Hacktivistes,30.12,10465,30.4,Ingénierie sociale,SIEM
Chine,2019,Phishing,Finance,Nation-État,22.32,65434,154.3,Logiciels non patchés,Analyse forensique
France,2019,Malware,Défense,Hacktivistes,30.58,2113164,151.3,API non sécurisée,Pare-feu
États-Unis,2019,Man-in-the-Middle,Santé,Insider,5.27,30442,89.3,Absence de chiffrement,Authentification multifacteur
Chine,2019,DDoS,Santé,Cybercriminels,7.16,28166,44.0,Accès non autorisé,Chiffrement
Allemagne,2019,Malware,Commerce,Hacktivistes,70.77,4803836,106.1,Logiciels non patchés,Authentification multifacteur
États-Unis,2019,Man-in-the-Middle,Gouvernement,Cybercriminels,36.38,359514,149.6,Ingénierie sociale,Sauvegarde et restauration
Chine,2019,Man-in-the-Middle,Santé,Groupe de hackers,3.53,32,40.5,Mauvaise configuration,SIEM
Inde,2019,DDoS,Finance,Nation-État,36.45,273785,88.8,API non sécurisée,Sauvegarde et restauration
Russie,2019,Injection SQL,Éducation,Nation-État,44.73,1035390,74.8,Mauvaise configuration,Analyse forensique
Chine,2019,Spear Phishing,Technologie,Inconnu,89.46,15645,118.3,Logiciels non patchés,IDS/IPS
Allemagne,2019,DDoS,Technologie,Cybercriminels,22.43,3706,79.7,Ingénierie sociale,Authentification multifacteur
Afrique du Sud,2019,DDoS,Technologie,Inconnu,22.02,4440400,47.7,Logiciels non patchés,Formation et sensibilisation
France,2019,Phishing,Finance,Cybercriminels,39.63,43614,100.0,Ingénierie sociale,SIEM
Chine,2019,Ransomware,Finance,Nation-État,290.05,199516,373.7,Accès non autorisé,IDS/IPS
Turquie,2019,Phishing,Gouvernement,Inconnu,15.83,744,35.3,Vulnérabilité zero-day,SIEM
Singapour,2019,Ransomware,Technologie,Cybercriminels,195.48,115741,309.0,Ingénierie sociale,Chiffrement
Indonésie,2019,Spear Phishing,Télécommunications,Cybercriminels,147.40,77627,158.0,Ingénierie sociale,Authentification multifacteur
France,2020,Zero-Day,Technologie,Hacktivistes,258.16,9997393,428.9,Accès non autorisé,EDR
Indonésie,2020,Phishing,Santé,Groupe de hackers,63.00,3164,152.2,Mots de passe faibles,Authentification multifacteur
Ukraine,2020,Spear Phishing,Finance,Insider,59.41,598,23.9,Ingénierie sociale,Chiffrement
Ukraine,2020,Phishing,Commerce,Groupe de hackers,19.53,20789,47.7,Vulnérabilité zero-day,IDS/IPS
Allemagne,2020,Malware,Santé,Groupe de hackers,62.63,8111,122.6,Vulnérabilité zero-day,Authentification multifacteur
Singapour,2020,Spear Phishing,Transport,Cybercriminels,169.55,295,99.9,Logiciels non patchés,Authentification multifacteur
Iran,2020,Malware,Finance,Insider,89.48,12760,123.7,Mauvaise configuration,IDS/IPS
Royaume-Uni,2020,Zero-Day,Finance,Cybercriminels,704.82,965,329.0,API non sécurisée,EDR
Russie,2020,Malware,Santé,Insider,112.15,997746,150.9,Logiciels non patchés,Pare-feu
Inde,2020,Zero-Day,Énergie,Hacktivistes,335.44,3534675,385.5,Mots de passe faibles,Pare-feu
Russie,2020,DDoS,Gouvernement,Cybercriminels,20.99,3475,139.0,Ingénierie sociale,Segmentation réseau
Australie,2020,DDoS,Finance,Cybercriminels,44.70,2319096,138.3,Mauvaise configuration,EDR
France,2020,Ransomware,Technologie,Nation-État,264.99,169,514.5,Mauvaise configuration,Pare-feu
États-Unis,2020,Ransomware,Technologie,Inconnu,198.29,28159,539.1,Ingénierie sociale,Segmentation réseau
Brésil,2020,Phishing,Défense,Inconnu,72.41,479965,55.7,Absence de chiffrement,Authentification multifacteur
Japon,2020,DDoS,Santé,Groupe de hackers,25.26,738938,110.0,Mots de passe faibles,Pare-feu
Chine,2020,Injection SQL,Gouvernement,Inconnu,26.06,2093945,104.1,Vulnérabilité zero-day,Pare-feu
États-Unis,2020,Spear Phishing,Technologie,Nation-État,13.40,151,151.9,API non sécurisée,Authentification multifacteur
Inde,2020,Phishing,Technologie,Insider,59.40,2627610,127.3,Vulnérabilité zero-day,Pare-feu
Brésil,2020,Ransomware,Santé,Insider,157.10,65,393.2,Logiciels non patchés,Chiffrement
États-Unis,2020,Phishing,Finance,Cybercriminels,16.74,2014,99.6,Mauvaise configuration,Segmentation réseau
Corée du Sud,2020,DDoS,Technologie,Cybercriminels,21.78,241107,49.6,API non sécurisée,SIEM
Singapour,2020,Ransomware,Gouvernement,Groupe de hackers,54.29,8957,492.4,Mots de passe faibles,Sauvegarde et restauration
Allemagne,2020,Ransomware,Finance,Hacktivistes,41.00,682015,38.5,Mauvaise configuration,IDS/IPS
États-Unis,2020,Malware,Finance,Cybercriminels,76.53,54191,83.6,Mots de passe faibles,Analyse forensique
Inde,2020,Phishing,Gouvernement,Insider,19.22,686,49.5,Mauvaise configuration,Authentification multifacteur
Allemagne,2020,Ransomware,Défense,Groupe de hackers,7.75,1242,289.1,Mots de passe faibles,Authentification multifacteur
Japon,2020,Phishing,Commerce,Inconnu,63.89,744,25.9,Absence de chiffrement,Segmentation réseau
États-Unis,2020,Phishing,Santé,Cybercriminels,48.89,21801,69.6,Vulnérabilité zero-day,SIEM
Allemagne,2020,DDoS,Technologie,Cybercriminels,15.34,10569,145.3,API non sécurisée,Segmentation réseau
Canada,2020,Spear Phishing,Technologie,Cybercriminels,75.85,118,86.0,Vulnérabilité zero-day,IDS/IPS
Canada,2020,Zero-Day,Santé,Insider,814.60,84422,470.7,Mots de passe faibles,EDR
États-Unis,2020,Malware,Finance,Hacktivistes,127.06,23565,17.8,Accès non autorisé,Chiffrement
États-Unis,2020,Malware,Gouvernement,Insider,47.35,15450,133.6,Ingénierie sociale,Pare-feu
Royaume-Uni,2020,Phishing,Finance,Hacktivistes,83.28,264,88.8,Accès non autorisé,Sauvegarde et restauration
Inde,2020,Ransomware,Éducation,Groupe de hackers,273.21,3707,380.7,Vulnérabilité zero-day,Sauvegarde et restauration
Canada,2020,Zero-Day,Télécommunications,Nation-État,667.65,1263,263.4,Vulnérabilité zero-day,EDR
Brésil,2020,Phishing,Gouvernement,Groupe de hackers,3.59,393292,23.7,Accès non autorisé,EDR
Ukraine,2020,Phishing,Finance,Hacktivistes,37.52,784,166.8,Accès non autorisé,Analyse forensique
Iran,2020,Man-in-the-Middle,Technologie,Groupe de hackers,28.80,2544,126.8,Mauvaise configuration,Segmentation réseau
États-Unis,2020,Malware,Technologie,Cybercriminels,37.46,311881,74.0,Ingénierie sociale,Segmentation réseau
Iran,2020,Malware,Finance,Insider,128.00,2953,49.9,Vulnérabilité zero-day,SIEM
Iran,2020,Phishing,Santé,Inconnu,76.61,66781,143.1,Mauvaise configuration,Analyse forensique
Chine,2020,Malware,Télécommunications,Cybercriminels,9.73,112940,93.3,Ingénierie sociale,Pare-feu
Japon,2020,Injection SQL,Finance,Nation-État,62.09,12451,96.6,Logiciels non patchés,Segmentation réseau
Indonésie,2020,Phishing,Finance,Hacktivistes,86.49,50566,36.8,Accès non autorisé,EDR
Russie,2020,Phishing,Commerce,Insider,51.35,198,20.7,Mots de passe faibles,Pare-feu
Mexique,2020,Malware,Éducation,Inconnu,37.15,32185,87.3,Vulnérabilité zero-day,EDR
Nigeria,2020,Injection SQL,Finance,Insider,32.19,2937566,31.5,Accès non autorisé,Pare-feu
Allemagne,2020,Ransomware,Technologie,Inconnu,311.92,1295,569.9,Mots de passe faibles,Authentification multifacteur
Iran,2020,Spear Phishing,Gouvernement,Nation-État,156.16,5699,163.8,Vulnérabilité zero-day,Segmentation réseau
États-Unis,2020,Man-in-the-Middle,Technologie,Nation-État,37.67,368,94.6,API non sécurisée,Sauvegarde et restauration
États-Unis,2020,Spear Phishing,Télécommunications,Groupe de hackers,96.56,42,138.2,Accès non autorisé,Pare-feu
Malaisie,2020,Malware,Finance,Nation-État,17.45,33831,93.4,Absence de chiffrement,SIEM
Ukraine,2020,Ransomware,Défense,Hacktivistes,276.72,650,268.1,Logiciels non patchés,Pare-feu
Suède,2020,Phishing,Éducation,Groupe de hackers,28.08,182,162.1,Vulnérabilité zero-day,Authentification multifacteur
Chine,2020,Ransomware,Commerce,Nation-État,174.40,34864,293.8,Absence de chiffrement,Formation et sensibilisation
Australie,2020,Malware,Finance,Nation-État,84.97,3210,123.7,Mots de passe faibles,Sauvegarde et restauration
Israël,2020,Ransomware,Éducation,Groupe de hackers,204.31,949479,339.1,Mauvaise configuration,EDR
Mexique,2020,DDoS,Technologie,Cybercriminels,17.41,2268070,96.2,Accès non autorisé,Segmentation réseau
Allemagne,2020,Zero-Day,Télécommunications,Insider,40.89,17603,475.8,Absence de chiffrement,EDR
Espagne,2020,Phishing,Gouvernement,Groupe de hackers,1.20,1408,15.2,Vulnérabilité zero-day,IDS/IPS
Royaume-Uni,2020,DDoS,Énergie,Cybercriminels,23.31,5311948,79.6,Ingénierie sociale,Chiffrement
Italie,2020,Phishing,Finance,Nation-État,62.48,92408,85.1,Accès non autorisé,Segmentation réseau
Pays-Bas,2020,Ransomware,Gouvernement,Groupe de hackers,260.06,62,692.2,API non sécurisée,Segmentation réseau
Nigeria,2020,Malware,Commerce,Groupe de hackers,65.16,1493,69.5,Absence de chiffrement,EDR
Brésil,2020,Spear Phishing,Santé,Cybercriminels,26.16,4285,104.3,Absence de chiffrement,Chiffrement
Japon,2020,Ransomware,Technologie,Groupe de hackers,14.61,5012,534.9,Ingénierie sociale,SIEM
Japon,2020,Spear Phishing,Commerce,Insider,147.47,12,88.6,Accès non autorisé,SIEM
Colombie,2020,Ransomware,Éducation,Groupe de hackers,57.41,3151,186.1,Accès non autorisé,Formation et sensibilisation
Italie,2020,Ransomware,Santé,Cybercriminels,187.03,44955,392.2,Mauvaise configuration,Authentification multifacteur
Chine,2020,Malware,Finance,Nation-État,91.88,59029,100.3,Vulnérabilité zero-day,Formation et sensibilisation
Allemagne,2020,Injection SQL,Technologie,Insider,6.61,408409,44.6,Vulnérabilité zero-day,Segmentation réseau
États-Unis,2020,Phishing,Gouvernement,Groupe de hackers,14.80,1146568,40.1,Mauvaise configuration,EDR
Chine,2020,DDoS,Commerce,Hacktivistes,4.74,3522808,45.8,Accès non autorisé,Sauvegarde et restauration
Égypte,2020,Malware,Finance,Cybercriminels,128.98,4954269,44.4,Vulnérabilité zero-day,SIEM
Canada,2020,DDoS,Santé,Inconnu,7.44,5038,107.5,Accès non autorisé,Authentification multifacteur
Chine,2020,Phishing,Finance,Cybercriminels,35.94,1800,66.1,Absence de chiffrement,Sauvegarde et restauration
Iran,2020,Zero-Day,Éducation,Hacktivistes,677.86,124491,310.0,Mauvaise configuration,Segmentation réseau
Pays-Bas,2020,Zero-Day,Transport,Nation-État,414.45,838655,94.0,Logiciels non patchés,SIEM
Pologne,2020,Spear Phishing,Technologie,Cybercriminels,59.38,2405,118.1,Mauvaise configuration,Segmentation réseau
Russie,2020,Phishing,Énergie,Groupe de hackers,66.45,54486,52.5,Logiciels non patchés,Formation et sensibilisation
Singapour,2020,Spear Phishing,Éducation,Hacktivistes,135.08,539,58.1,Logiciels non patchés,SIEM
Israël,2020,Malware,Santé,Groupe de hackers,131.32,3350776,20.0,API non sécurisée,Segmentation réseau
Malaisie,2020,Ransomware,Santé,Cybercriminels,72.27,57500,560.1,Vulnérabilité zero-day,Segmentation réseau
Australie,2020,Ransomware,Éducation,Cybercriminels,348.71,242624,423.5,Absence de chiffrement,Chiffrement
Chine,2020,Man-in-the-Middle,Gouvernement,Cybercriminels,8.23,102935,62.5,Mauvaise configuration,SIEM
Inde,2020,Phishing,Santé,Nation-État,51.68,10237,160.7,Absence de chiffrement,EDR
Russie,2020,DDoS,Énergie,Nation-État,8.27,9143476,62.2,Accès non autorisé,Authentification multifacteur
Singapour,2020,Ransomware,Finance,Inconnu,50.76,2360,46.8,Logiciels non patchés,Analyse forensique
Chine,2020,Man-in-the-Middle,Gouvernement,Cybercriminels,10.36,13,126.2,Ingénierie sociale,Chiffrement
Égypte,2020,Ransomware,Finance,Insider,259.97,2128,459.0,Mots de passe faibles,Sauvegarde et restauration
Royaume-Uni,2020,Ransomware,Énergie,Cybercriminels,286.66,2649,569.3,API non sécurisée,Segmentation réseau
Chine,2020,Zero-Day,Santé,Hacktivistes,149.25,866,86.6,Accès non autorisé,Chiffrement
Pays-Bas,2020,DDoS,Finance,Hacktivistes,22.05,8546054,22.1,Vulnérabilité zero-day,Authentification multifacteur
Corée du Sud,2020,Ransomware,Technologie,Groupe de hackers,275.41,282420,626.3,Ingénierie sociale,Sauvegarde et restauration
Pologne,2020,Spear Phishing,Finance,Groupe de hackers,44.37,32,75.8,API non sécurisée,Formation et sensibilisation
États-Unis,2020,Ransomware,Finance,Groupe de hackers,229.82,4650,501.6,Vulnérabilité zero-day,Chiffrement
Canada,2020,Man-in-the-Middle,Défense,Groupe de hackers,40.14,15,113.1,Mots de passe faibles,IDS/IPS
Inde,2020,Malware,Technologie,Nation-État,135.79,3202055,17.0,Ingénierie sociale,Authentification multifacteur
Indonésie,2020,Spear Phishing,Technologie,Cybercriminels,144.29,24,97.7,Accès non autorisé,Segmentation réseau
Arabie Saoudite,2020,Man-in-the-Middle,Énergie,Groupe de hackers,36.17,14802,58.6,Ingénierie sociale,IDS/IPS
Iran,2020,Phishing,Technologie,Insider,28.37,3648445,60.6,Ingénierie sociale,SIEM
Suède,2020,DDoS,Santé,Groupe de hackers,51.33,853216,7.4,Vulnérabilité zero-day,Pare-feu
États-Unis,2020,DDoS,Technologie,Groupe de hackers,18.35,10449,149.4,Mauvaise configuration,SIEM
Russie,2020,Malware,Éducation,Hacktivistes,122.37,497597,129.6,Ingénierie sociale,Authentification multifacteur
Arabie Saoudite,2020,Spear Phishing,Énergie,Nation-État,139.18,5541,17.5,API non sécurisée,Formation et sensibilisation
Allemagne,2020,Ransomware,Transport,Nation-État,254.68,357467,331.3,Mots de passe faibles,Analyse forensique
Arabie Saoudite,2020,Ransomware,Technologie,Cybercriminels,140.51,521472,191.8,Absence de chiffrement,Segmentation réseau
Chine,2020,Zero-Day,Gouvernement,Inconnu,167.30,15147,381.3,Ingénierie sociale,IDS/IPS
Japon,2020,Malware,Commerce,Groupe de hackers,64.07,600882,166.4,Mauvaise configuration,Analyse forensique
Égypte,2020,Malware,Santé,Nation-État,133.49,1641,31.6,Logiciels non patchés,SIEM
Italie,2020,Ransomware,Santé,Groupe de hackers,45.44,79,173.5,API non sécurisée,Sauvegarde et restauration
Brésil,2020,Ransomware,Commerce,Groupe de hackers,157.44,645,220.7,Logiciels non patchés,Authentification multifacteur
Pologne,2020,Spear Phishing,Gouvernement,Inconnu,165.38,12557,141.2,Mots de passe faibles,SIEM
Turquie,2020,Ransomware,Technologie,Groupe de hackers,304.82,360463,703.4,Logiciels non patchés,Analyse forensique
Pologne,2020,Zero-Day,Éducation,Cybercriminels,485.66,277,394.1,Vulnérabilité zero-day,Segmentation réseau
Allemagne,2020,Injection SQL,Énergie,Cybercriminels,39.95,75015,55.1,Mauvaise configuration,Chiffrement
Ukraine,2020,Zero-Day,Technologie,Inconnu,753.31,2784,464.5,API non sécurisée,Sauvegarde et restauration
Iran,2020,Spear Phishing,Télécommunications,Hacktivistes,66.66,3815,155.2,Mots de passe faibles,Formation et sensibilisation
Ukraine,2020,Phishing,Éducation,Cybercriminels,76.73,563818,72.9,Accès non autorisé,Analyse forensique
Iran,2020,Injection SQL,Télécommunications,Nation-État,31.12,57041,146.3,Mauvaise configuration,SIEM
Espagne,2020,Ransomware,Finance,Insider,106.49,189,41.9,Logiciels non patchés,SIEM
Inde,2020,Phishing,Finance,Nation-État,71.56,157,49.2,Logiciels non patchés,IDS/IPS
États-Unis,2020,Spear Phishing,Technologie,Hacktivistes,58.87,10,13.8,Vulnérabilité zero-day,IDS/IPS
France,2020,Phishing,Gouvernement,Cybercriminels,70.46,12412,165.0,Mots de passe faibles,Pare-feu
Brésil,2020,Spear Phishing,Santé,Nation-État,64.44,225,28.7,Logiciels non patchés,Chiffrement
Nigeria,2020,Man-in-the-Middle,Technologie,Cybercriminels,20.04,456,45.0,Logiciels non patchés,EDR
Canada,2020,Zero-Day,Défense,Inconnu,250.48,3474809,149.5,Logiciels non patchés,Pare-feu
Royaume-Uni,2020,Zero-Day,Santé,Groupe de hackers,137.16,253,85.4,API non sécurisée,IDS/IPS
Corée du Sud,2020,Phishing,Gouvernement,Cybercriminels,11.80,733839,13.9,Absence de chiffrement,Chiffrement
Espagne,2020,Spear Phishing,Gouvernement,Cybercriminels,137.27,55,87.7,Accès non autorisé,Chiffrement
Russie,2020,Injection SQL,Finance,Hacktivistes,16.04,16466,49.8,Accès non autorisé,EDR
Chine,2020,Malware,Finance,Cybercriminels,25.76,438061,115.6,Accès non autorisé,SIEM
Suède,2020,Ransomware,Finance,Groupe de hackers,262.23,413,512.4,API non sécurisée,IDS/IPS
Royaume-Uni,2020,Phishing,Énergie,Hacktivistes,2.10,3338422,162.3,Mots de passe faibles,Authentification multifacteur
Royaume-Uni,2020,Phishing,Technologie,Groupe de hackers,46.91,1603253,119.6,Mots de passe faibles,EDR
États-Unis,2020,Man-in-the-Middle,Éducation,Groupe de hackers,25.33,59,22.6,Logiciels non patchés,EDR
Russie,2020,Malware,Commerce,Insider,87.70,2130,28.9,Absence de chiffrement,Sauvegarde et restauration
Russie,2020,Ransomware,Commerce,Nation-État,192.97,8715,385.8,Vulnérabilité zero-day,Chiffrement
Inde,2020,Ransomware,Éducation,Nation-État,84.85,56600,234.9,Vulnérabilité zero-day,Sauvegarde et restauration
États-Unis,2020,Malware,Finance,Nation-État,78.50,58152,73.5,Vulnérabilité zero-day,Authentification multifacteur
Inde,2020,Phishing,Finance,Cybercriminels,11.07,354,80.8,Ingénierie sociale,Sauvegarde et restauration
Royaume-Uni,2020,Injection SQL,Finance,Inconnu,13.57,750578,51.6,Logiciels non patchés,SIEM
Afrique du Sud,2020,DDoS,Énergie,Cybercriminels,26.86,67766,58.6,Vulnérabilité zero-day,SIEM
Canada,2020,Injection SQL,Gouvernement,Cybercriminels,6.66,46612,53.6,Mots de passe faibles,Segmentation réseau
États-Unis,2020,Ransomware,Télécommunications,Nation-État,40.90,3545,648.6,Accès non autorisé,Formation et sensibilisation
France,2020,Spear Phishing,Finance,Hacktivistes,165.66,436,132.2,Logiciels non patchés,EDR
Brésil,2020,DDoS,Finance,Groupe de hackers,17.04,1138738,21.6,Vulnérabilité zero-day,Chiffrement
Allemagne,2020,Zero-Day,Télécommunications,Insider,461.70,1709,315.7,Mauvaise configuration,Chiffrement
Royaume-Uni,2020,Phishing,Défense,Groupe de hackers,41.86,23367,48.3,Ingénierie sociale,IDS/IPS
Iran,2020,Malware,Santé,Nation-État,129.62,539001,98.7,Logiciels non patchés,SIEM
Chine,2020,Ransomware,Gouvernement,Insider,160.02,826403,515.5,API non sécurisée,Pare-feu
Colombie,2020,Zero-Day,Finance,Cybercriminels,699.35,8783206,301.2,Ingénierie sociale,Pare-feu
Turquie,2020,Ransomware,Santé,Nation-État,235.03,134997,327.6,Logiciels non patchés,IDS/IPS
Japon,2020,DDoS,Éducation,Cybercriminels,3.16,158750,42.8,Absence de chiffrement,IDS/IPS
Espagne,2020,Zero-Day,Finance,Insider,394.47,80507,129.2,Ingénierie sociale,IDS/IPS
Royaume-Uni,2020,Malware,Télécommunications,Groupe de hackers,111.74,30406,142.3,Mauvaise configuration,Pare-feu
Inde,2020,Malware,Finance,Nation-État,56.85,2507,64.6,Ingénierie sociale,Sauvegarde et restauration
Chine,2020,DDoS,Télécommunications,Insider,38.78,567805,6.9,Accès non autorisé,Pare-feu
Turquie,2020,Phishing,Santé,Cybercriminels,15.22,29448,159.7,Mots de passe faibles,Chiffrement
Pays-Bas,2020,Malware,Commerce,Cybercriminels,89.54,1160,146.2,Ingénierie sociale,EDR
Chine,2020,Zero-Day,Santé,Cybercriminels,399.29,7103739,370.0,Absence de chiffrement,Segmentation réseau
France,2020,Injection SQL,Finance,Cybercriminels,35.50,9600029,146.1,API non sécurisée,Pare-feu
Nigeria,2020,Ransomware,Finance,Inconnu,30.60,295020,345.6,Mauvaise configuration,SIEM
Mexique,2020,Zero-Day,Défense,Insider,89.67,570009,465.7,Mauvaise configuration,EDR
Mexique,2020,Malware,Santé,Insider,58.46,39898,167.2,Absence de chiffrement,Formation et sensibilisation
États-Unis,2020,Spear Phishing,Transport,Hacktivistes,174.26,299,161.4,API non sécurisée,Sauvegarde et restauration
Canada,2020,Spear Phishing,Santé,Insider,145.91,67,39.5,Absence de chiffrement,Segmentation réseau
États-Unis,2020,Ransomware,Énergie,Cybercriminels,140.13,9897,386.1,Mots de passe faibles,IDS/IPS
Japon,2020,Phishing,Éducation,Nation-État,11.06,1858422,135.5,Accès non autorisé,Sauvegarde et restauration
Iran,2020,Phishing,Santé,Groupe de hackers,28.76,435,138.8,Vulnérabilité zero-day,Chiffrement
Chine,2020,Phishing,Gouvernement,Groupe de hackers,64.79,414133,146.4,Accès non autorisé,Formation et sensibilisation
Égypte,2020,Phishing,Gouvernement,Insider,6.86,522169,69.9,Vulnérabilité zero-day,EDR
Inde,2020,Phishing,Technologie,Groupe de hackers,32.70,3668921,16.3,API non sécurisée,Authentification multifacteur
Russie,2020,Zero-Day,Éducation,Groupe de hackers,804.40,1973552,400.3,Mots de passe faibles,Formation et sensibilisation
Japon,2020,Ransomware,Transport,Insider,273.09,614,248.3,Accès non autorisé,EDR
Inde,2020,Ransomware,Défense,Hacktivistes,60.57,23963,229.3,Accès non autorisé,SIEM
Corée du Sud,2020,DDoS,Défense,Insider,21.53,1001,48.5,Mots de passe faibles,Formation et sensibilisation
Allemagne,2020,Man-in-the-Middle,Technologie,Nation-État,1.67,107213,162.9,Absence de chiffrement,IDS/IPS
États-Unis,2021,Phishing,Santé,Inconnu,57.89,151,80.9,Vulnérabilité zero-day,Segmentation réseau
Japon,2021,Phishing,Technologie,Inconnu,66.25,970,18.6,Ingénierie sociale,Pare-feu
Canada,2021,Ransomware,Finance,Groupe de hackers,88.96,24219,91.5,Mots de passe faibles,Formation et sensibilisation
Arabie Saoudite,2021,DDoS,Gouvernement,Cybercriminels,37.05,6116642,68.5,API non sécurisée,EDR
Russie,2021,DDoS,Technologie,Cybercriminels,44.04,3959,104.6,API non sécurisée,Sauvegarde et restauration
